RowID,Sport,Name,Active,Type,Status,MaxAge,MinAge,GenderType,MaxPart,MinPart,MinMales,MinFemales,TeamSize,Limit,StartLimit
-2004596727,AFL,AFL Mixed B,TRUE,Team,Open,130,11,Mixed,999,0,0,3,8,16,16
-1499827873,Air Hockey,Air Hockey Open,TRUE,Singles,Open,29,11,Open,1,1,0,0,1,32,32
-943634508,Air Hockey,Air Hockey Under 18,TRUE,Singles,Open,17,11,Open,1,1,0,0,1,32,32
-1870412949,Arts Program,Arts Workshop 1,TRUE,Singles,Open,29,11,Open,1,1,0,0,1,32,32
1334890363,Arts Program,Arts Workshop 2,TRUE,Singles,Open,29,11,Open,1,1,0,0,1,32,32
1355115523,Arts Program,Arts Workshop 3,TRUE,Singles,Open,29,11,Open,1,1,0,0,1,32,32
,Arts Program,Arts Workshop 4,TRUE,Singles,Open,29,11,Open,1,1,0,0,1,32,32
-2068053737,Badminton,Badminton Ladies' Open,TRUE,Singles,Open,29,11,Ladies,1,1,0,0,1,12,12
1656834333,Badminton,Badminton Ladies' Under 18,TRUE,Singles,Open,17,11,Ladies,1,1,0,0,1,12,12
2045372442,Badminton,Badminton Men's Open,TRUE,Singles,Open,29,11,Mens,1,1,0,0,1,12,12
-742640680,Badminton,Badminton Men's Under 18,TRUE,Singles,Open,17,11,Mens,1,1,0,0,1,12,12
212413689,Badminton,Badminton Open Mixed Doubles,TRUE,Doubles,Open,29,11,Mixed,2,2,1,1,2,8,8
1499766214,Badminton,Badminton Under 18 Mixed Doubles,TRUE,Doubles,Open,17,11,Mixed,2,2,1,1,2,8,8
-208415345,Basketball,Basketball A,TRUE,Team,Open,130,11,Open,12,0,0,0,5,16,16
232384149,Basketball,Basketball B,TRUE,Team,Open,130,11,Open,12,0,0,0,5,48,48
-1330158030,Basketball,Basketball C,TRUE,Team,Open,130,11,Open,12,0,0,0,5,48,48
-393354549,Basketball,Basketball Ladies',TRUE,Team,Open,130,11,Ladies,12,0,0,0,5,16,16
1868713433,Beep Test,Beep Test Ladies' Open,TRUE,Singles,Open,29,11,Ladies,1,1,0,0,1,80,80
-2098687065,Beep Test,Beep Test Ladies' Under 18,TRUE,Singles,Open,17,11,Ladies,1,1,0,0,1,60,60
-1473270357,Beep Test,Beep Test Men's Open,TRUE,Singles,Open,29,11,Mens,1,1,0,0,1,80,80
-1924449133,Beep Test,Beep Test Men's Under 18,TRUE,Singles,Open,17,11,Mens,1,1,0,0,1,60,60
-2064696624,Bocce,Bocce Open B,TRUE,Team,Open,130,11,Open,6,0,0,0,4,24,24
541009346,Bocce,Bocce Open C,TRUE,Team,Open,130,11,Open,6,0,0,0,4,24,24
-2023821986,Chess,Chess Open,TRUE,Singles,Open,29,11,Open,1,1,0,0,1,32,32
376581511,Chess,Chess Under 15,TRUE,Singles,Open,14,11,Open,1,1,0,0,1,16,16
-2051454276,Chess,Chess Under 18,TRUE,Singles,Open,17,11,Open,1,1,0,0,1,16,16
