RowID,Grade,Name,Active,Venue,YearIntroduced,NbrOfCourts,Session
-1426823011,AFL Mixed B,AFL Recreational Football Mixed B1,TRUE,WLHT,2005,2,1
2033414554,AFL Mixed B,AFL Recreational Football Mixed B2,TRUE,WLHT,2006,2,2
-441395917,AFL Mixed B,AFL Recreational Football Mixed B3,TRUE,DBB3,0,1,4
1788564499,Air Hockey Open,Air Hockey Open,TRUE,WTPB,2005,1,4
815192408,Air Hockey Under 18,Air Hockey Under 18,TRUE,WTPB,2005,1,5
286414890,Arts Cartoon Illustration,Arts Cartoon Illustration,TRUE,LPK,2018,1,4
1515234943,Arts Typography,Arts Typography - Saturday Morning,TRUE,LPK,0,1,1
-800833078,Arts Typography,Arts Typography - Sunday Afternoon,TRUE,LPK,0,1,5
-1229862396,Arts Watercolour,Arts Watercolour,TRUE,LPK,2018,1,2
1878723213,Badminton Ladies' Open,Badminton Ladies' Open,TRUE,WBC,0,4,2
-805533821,Badminton Ladies' Under 18,Badminton Ladies' Under 18,TRUE,WBC,0,4,1
48464904,Badminton Men's Open,Badminton Men's Open,TRUE,WBC,0,4,2
101132662,Badminton Men's Under 18,Badminton Men's Under 18,TRUE,WBC,0,4,1
235031999,Badminton Open Mixed Doubles,Badminton Open Mixed Doubles,TRUE,WBC,0,4,2
1574307333,Badminton Under 18 Mixed Doubles,Badminton Under 18 Mixed Doubles,TRUE,WBC,0,4,1
-1628053470,Basketball A,Basketball A,TRUE,WLC,0,2,2
-440115442,Basketball B,Basketball B1,TRUE,WSPS,0,2,1
-831829641,Basketball B,Basketball B2,TRUE,WSPS,0,2,2
-1247286287,Basketball B,Basketball B3,TRUE,WLC,0,2,4
-872986499,Basketball C,Basketball C1,TRUE,WLC,0,2,1
1327362863,Basketball C,Basketball C2,TRUE,WSPS,0,2,4
339523315,Basketball C,Basketball C3,TRUE,WLC,0,2,5
1905268417,Basketball C,Basketball C4,TRUE,WSPS,2010,2,5
-1680285095,Basketball Ladies',Basketball Ladies',TRUE,WSTJ,0,1,4
-642007130,Basketball Under 18,Basketball Under 18-1,TRUE,WSTJ,0,1,1
-1152769922,Basketball Under 18,Basketball Under 18-2,TRUE,WSTJ,0,1,2
-347437500,Basketball Under 18,Basketball Under 18-3,TRUE,WSTJ,0,1,5
-26167548,Beep Test Ladies' Open,Beep Test Ladies' Open,TRUE,LPK,2010,1,6
-1698984520,Beep Test Ladies' Under 18,Beep Test Ladies' Under 18,TRUE,LPK,2010,1,3
2109923373,Beep Test Men's Open,Beep Test Men's Open,TRUE,LPK,2010,1,3
-1641329251,Beep Test Men's Under 18,Beep Test Men's Under 18,TRUE,LPK,2010,1,6
139221803,Bocce Open B,Bocce Open B1,TRUE,LPK,2014,3,5
-308168409,Bocce Open C,Bocce Open C1,TRUE,LPK,2018,4,2
-148563181,Bubble Soccer C,Bubble Soccer C1,TRUE,DSCS,2015,2,1
-1263833833,Bubble Soccer C,Bubble Soccer C2,TRUE,DSCS,2015,2,2
1344918813,Bubble Soccer C,Bubble Soccer C3,TRUE,DSCS,2015,2,4
-1485788576,Bubble Soccer C,Bubble Soccer C4,TRUE,DSCS,2015,2,5
435381778,Chess Open,Chess Open,TRUE,LPK,0,2,1
-402842325,Chess Under 15,Chess Under 15,TRUE,LPK,0,3,1
-479018352,Chess Under 18,Chess Under 18,TRUE,LPK,0,6,1
752306993,Cricket Open C,Cricket Open C1,TRUE,DSPS,2015,1,1
-777229244,Cricket Open C,Cricket Open C2,TRUE,DSPS,2015,1,2
1350691884,Cricket Open C,Cricket Open C3,TRUE,DSPS,2019,1,4
1222071430,Cricket Open C,Cricket Open C4,TRUE,DSPS,2019,1,5
-369519791,Cross Country Ladies' Open,Cross Country Ladies' Open,TRUE,LPK,2001,0,5
1517923134,Cross Country Ladies' Under 15,Cross Country Ladies' Under 15,TRUE,LPK,2001,0,5
1354550759,Cross Country Ladies' Under 18,Cross Country Ladies' Under 18,TRUE,LPK,2001,0,5
149797788,Cross Country Men's Open,Cross Country Men's Open,TRUE,LPK,2001,0,5
56107629,Cross Country Men's Under 15,Cross Country Men's Under 15,TRUE,LPK,2001,0,5
-5506262,Cross Country Men's Under 18,Cross Country Men's Under 18,TRUE,LPK,2001,0,5
-1572321145,Dance - Broadway Workshop,Dance - Broadway Workshop,TRUE,LPK,2018,1,5
-441514055,Dance - Contemporary Workshop,Dance - Contemporary Workshop,TRUE,LPK,0,1,2
879540117,Dance - Hip Hop Workshop,Dance - Hip Hop Workshop,TRUE,LPK,0,1,1
979801122,Dance - Worship Workshop,Dance - Worship Workshop,TRUE,LPK,0,1,4
-312286621,Darts Open,Darts Open,TRUE,LPK,0,4,1
2072427880,Darts Under 15,Darts Under 15,TRUE,LPK,0,4,4
383433545,Darts Under 18,Darts Under 18,TRUE,LPK,0,4,4
-1172156445,Dodgeball A,Dodgeball A1,TRUE,LPK,2015,1,1
68470852,Dodgeball A,Dodgeball A2,TRUE,LPK,2015,1,4
-996267159,Dodgeball B,Dodgeball B1,TRUE,WSPJ,2009,1,1
-1469291077,Dodgeball B,Dodgeball B2,TRUE,LPK,2009,1,2
708827566,Dodgeball B,Dodgeball B3,TRUE,LPK,2015,1,2
579022461,Dodgeball B,Dodgeball B4,TRUE,WSPJ,2009,1,4
